Circuit Name: ;atmr.v
Input (1): ;i0
Output (1): ;z0
Circuit Signals (5): ;i0, z0, zori10, zori20, zori30
Fault Signals (4): ;z0, zori10, zori20, zori30


Input Signals;Fault Signal;Fault Type;Fault-Free Circuit Output;Faulty Circuit Output;Unmasked Faults
'1;[zori20];(0/1)zori20 ;'0;'0;6
'1;[z0];(0/1)z0 ;'0;'1;
'0;[z0];(1/0)z0 ;'1;'0;
'1;[z0];(0/1)z0 ;'0;'1;
'0;[zori30];(1/0)zori30 ;'1;'1;
'0;[z0];(1/0)z0 ;'1;'0;
'0;[zori30];(1/0)zori30 ;'1;'1;
'0;[zori20];(1/0)zori20 ;'1;'1;
'0;[z0];(1/0)z0 ;'1;'0;
'0;[z0];(1/0)z0 ;'1;'0;
