Circuit Name: ;c17v3.v
Input (5): ;G1gat, G2gat, G3gat, G4gat, G5gat
Output (2): ;G6gat, G7gat
Circuit Signals (11): ;G1gat, G2gat, G3gat, G4gat, G5gat, G6gat, G7gat, w1, w2, w3, w4
Fault Signals (11): ;G1gat, G2gat, G3gat, G4gat, G5gat, G6gat, G7gat, w1, w2, w3, w4


Input Signals;Fault Signal;Fault Type;Fault-Free Circuit Output;Faulty Circuit Output;Unmasked Faults
'10101;[G5gat];(1/0)G5gat ;'11;'01;64
'10111;[G1gat];(1/0)G1gat ;'11;'11;
'11101;[w2];(0/1)w2 ;'10;'00;
'11100;[w3];(1/0)w3 ;'01;'11;
'01010;[w1];(1/0)w1 ;'11;'00;
'00111;[G1gat];(0/1)G1gat ;'11;'11;
'01110;[G4gat];(1/0)G4gat ;'11;'01;
'00011;[G6gat];(1/0)G6gat ;'11;'01;
'00101;[G2gat];(0/1)G2gat ;'01;'00;
'01110;[G4gat];(1/0)G4gat ;'11;'01;
'00000;[w3];(1/0)w3 ;'00;'11;
'10001;[G2gat];(0/1)G2gat ;'10;'10;
'11110;[w3];(0/1)w3 ;'11;'01;
'11110;[w2];(1/0)w2 ;'11;'11;
'01000;[G1gat];(0/1)G1gat ;'00;'00;
'10111;[w4];(0/1)w4 ;'11;'11;
'11000;[G4gat];(0/1)G4gat ;'00;'11;
'11111;[w4];(1/0)w4 ;'10;'11;
'00000;[G2gat];(0/1)G2gat ;'00;'00;
'11001;[G2gat];(1/0)G2gat ;'10;'10;
'01111;[w1];(0/1)w1 ;'00;'11;
'00011;[w4];(1/0)w4 ;'11;'11;
'00100;[G4gat];(0/1)G4gat ;'01;'11;
'00111;[w4];(0/1)w4 ;'11;'11;
'00001;[G5gat];(1/0)G5gat ;'00;'00;
'00110;[G5gat];(0/1)G5gat ;'11;'11;
'10101;[G7gat];(1/0)G7gat ;'11;'10;
'01010;[w1];(1/0)w1 ;'11;'00;
'10001;[G3gat];(0/1)G3gat ;'10;'11;
'11010;[w2];(1/0)w2 ;'11;'11;
'00111;[G6gat];(1/0)G6gat ;'11;'01;
'00111;[G1gat];(0/1)G1gat ;'11;'11;
'00101;[w2];(1/0)w2 ;'01;'11;
'00001;[G4gat];(0/1)G4gat ;'00;'11;
'10111;[w4];(0/1)w4 ;'11;'11;
'11001;[w3];(1/0)w3 ;'10;'11;
'10010;[w2];(1/0)w2 ;'11;'11;
'01011;[G3gat];(0/1)G3gat ;'00;'00;
'01111;[G5gat];(1/0)G5gat ;'00;'11;
'00001;[w3];(1/0)w3 ;'00;'11;
'00111;[G3gat];(1/0)G3gat ;'11;'11;
'01100;[G5gat];(0/1)G5gat ;'01;'00;
'10100;[G5gat];(0/1)G5gat ;'01;'11;
